ID,TENANT_ID,TYPE,SUB_TYPE,EVENT_TYPE,EVENT_ID,EVENT_DETAILS,INTEGRATION_ID,STATUS,STEP,REPO,REF,REPO_DETAILS,BRANCH,FINDINGS_SUMMARY,RESOURCES_SUMMARY,CREATED_BY,CREATED_AT,UPDATED_AT,ERRORS_COUNT,ADDITIONAL_DETAILS
d7eee67d-50bb-4d31-a2b5-83b88a20dd32,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,26,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2492862332,
  ""trigger_type"": ""workflow_dispatch"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,f7c762884fb0d860c89bfad0d2f0bc02bfa8fc0f,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T21:54:48.715Z,2022-06-13T21:55:04.059Z,,{}
cf00d302-2971-46cf-8c94-bdfc8b173970,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,25,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2492818170,
  ""trigger_type"": ""workflow_dispatch"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,c70d540c4559c9f763983eada87ed6098d4273af,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T21:41:15.165Z,2022-06-13T21:41:34.825Z,,{}
d01ed046-29f6-449e-a135-36dec58030f8,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,24,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2490102780,
  ""trigger_type"": ""workflow_dispatch"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,f6bc3a69fa33e1d474e541b710bd22e163d3fab3,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T10:38:32.721Z,2022-06-13T10:39:03.131Z,,{}
c68d4e0a-2f45-4342-a104-908bf076831e,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,23,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2490023311,
  ""trigger_type"": ""workflow_dispatch"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,0d97f3495ed0c55fa2dfd4435978f34063cb195c,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T10:23:01.383Z,2022-06-13T10:23:31.566Z,,{}
b7321cf7-ebf9-4e20-af35-e1a0eb72ff22,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,22,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2489981077,
  ""trigger_type"": ""workflow_dispatch"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,5881a2e09f9b6b7d12c7715e56a565778c6d3e57,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T10:14:47.992Z,2022-06-13T10:15:18.456Z,,{}
6663efc1-6799-445f-a0ce-5526015bab7c,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,19,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2489416164,
  ""trigger_type"": ""workflow_dispatch"",
  ""user_avatar"": ""https://avatars.githubusercontent.com/u/103730049?v=4"",
  ""user_url"": ""https://github.com/iactest"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,FAILED,PolicyEvaluationFailed,https://github.com/praviniactest/ServiceOneIntAction,09b074bd27d1b899b4aaaaf22c8b0e7d409a92a9,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T08:29:44.314Z,2022-06-13T08:30:20.281Z,,{}
66d6f582-0592-4745-8c47-855f933a7e0b,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,20,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2489416384,
  ""trigger_type"": ""workflow_dispatch"",
  ""user_avatar"": ""https://avatars.githubusercontent.com/u/103730049?v=4"",
  ""user_url"": ""https://github.com/iactest"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,FAILED,PolicyEvaluationFailed,https://github.com/praviniactest/ServiceOneIntAction,09b074bd27d1b899b4aaaaf22c8b0e7d409a92a9,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T08:29:41.254Z,2022-06-13T08:30:18.04Z,,{}
427867fb-59c4-43ef-adf1-57ef2555cb70,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,18,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2489128963,
  ""trigger_type"": ""workflow_dispatch"",
  ""user_avatar"": ""https://avatars.githubusercontent.com/u/103730049?v=4"",
  ""user_url"": ""https://github.com/iactest"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,b91e2e000e1c1d8729fc11978271224930154217,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T07:42:43.981Z,2022-06-13T07:43:10.602Z,,{}
03d7320a-8f24-44cd-9df9-15610c624dc7,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,17,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2488417204,
  ""trigger_type"": ""workflow_dispatch"",
  ""user_avatar"": ""https://avatars.githubusercontent.com/u/103730049?v=4"",
  ""user_url"": ""https://github.com/iactest"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,b91e2e000e1c1d8729fc11978271224930154217,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T05:43:49.662Z,2022-06-13T05:44:20.199Z,,{}
06f23bc4-4dca-4a6a-8b49-5f099a0e7e4b,29c3501c-da12-460c-93f5-406369f71b35,CICD,GITHUB_ACTION,Build,16,"{
  ""action"": ""iac-scan"",
  ""externalId"": 2488000905,
  ""trigger_type"": ""workflow_dispatch"",
  ""user_avatar"": ""https://avatars.githubusercontent.com/u/103730049?v=4"",
  ""user_url"": ""https://github.com/iactest"",
  ""workflow"": ""Test""
}",71112570-ef72-4a3b-b213-acfb22f5bd2d,COMPLETED,ScanResultPublished,https://github.com/praviniactest/ServiceOneIntAction,6eae8405aeb88906fb40a82d705ac33952a75810,"{
  ""default_branch"": ""main"",
  ""full_name"": ""praviniactest/ServiceOneIntAction"",
  ""id"": 502256832,
  ""name"": ""ServiceOneIntAction"",
  ""updated_time"": ""2022-06-11T05:15:03Z"",
  ""url"": ""https://github.com/praviniactest/ServiceOneIntAction"",
  ""visibility"": ""public""
}",main,,"{
  ""cloud_types"": [
    ""AWS""
  ],
  ""resource_types"": [
    ""aws_s3_bucket""
  ],
  ""template_types"": [
    ""terraform""
  ]
}",iactest,2022-06-13T04:24:30.88Z,2022-06-13T04:25:04.979Z,,{}
